,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,117.46400,顶端弹幕,25,0xe70012,0,6bc7ff21,45483674550403077,《 Rapper の 诞 生 》
2,43.61300,滚动弹幕,25,0xffffff,0,e999927e,46688622465253381,起床学习！
3,164.21500,滚动弹幕,25,0xffffff,0,a22e2f67,46678576162930695,我背题就这么背
4,170.34200,滚动弹幕,25,0xffffff,0,a539a81c,46676919488348163,猝不及防
5,159.71500,滚动弹幕,25,0xffffff,0,21a73902,46630998707273733,艾宾浩斯遗忘曲线
6,239.78300,滚动弹幕,25,0xffffff,0,11287ab9,46616864721207301,不背单词
7,70.54800,滚动弹幕,25,0xffffff,0,516b6464,46612247307354117,哈哈哈哈，今儿早上背的abandon 
8,208.04200,滚动弹幕,25,0xffffff,0,ad43cbdb,46596087644946439,多邻国
9,82.25500,滚动弹幕,25,0xffffff,0,ad43cbdb,46596021755052037,my daughter
10,50.26900,滚动弹幕,25,0xffffff,0,72069599,46584805811290117,姐姐帅啊
11,283.84000,滚动弹幕,25,0xffffff,0,7a79752d,46582501703942149,单词软件
12,95.29800,滚动弹幕,25,0xffffff,0,babe6643,46576929784987651,Metabolic我刚好在背
13,269.32100,滚动弹幕,25,0xffffff,0,49d92fb0,46562112638025733,感觉像不背单词app
14,80.01900,滚动弹幕,25,0xffffff,0,677f1cb3,46543331520937989,作文怎么办？
15,116.93600,滚动弹幕,25,0xffffff,0,745ddd6c,46540755082149891,懂了rapper是这么练的
16,207.88400,滚动弹幕,25,0xffffff,0,eec2c755,46538994114101255,记忆绝望曲线
17,90.60000,滚动弹幕,25,0xffffff,0,8ccf9e3b,46538848463224839,可是我是卷子里的单词，没有读音
18,52.55900,滚动弹幕,25,0xffffff,0,5c477878,46536183323820037,雅思听力呀
19,252.82100,滚动弹幕,25,0xffffff,0,eea02cad,46517534610948101,？
20,154.38500,滚动弹幕,25,0xffffff,0,320449f2,46494800552132611,去收藏里吃灰吧！
21,223.51700,滚动弹幕,25,0xffffff,0,a1e913dd,46492562920833031,猝不及防
22,209.68100,滚动弹幕,25,0xffffff,0,a1e913dd,46492555642142723,猝不及防
23,102.30000,滚动弹幕,25,0xffffff,0,22c9d50d,46488994449981443,百词斩挺好的
24,61.65600,滚动弹幕,25,0xffffff,0,ae74c7ef,46487530805133319,你需要放弃
25,48.31400,滚动弹幕,25,0xffffff,0,e850ea24,46483314988023815,专四
26,121.87400,滚动弹幕,25,0xffffff,0,9267f98a,46482538222845959,错误示范
27,94.73300,滚动弹幕,25,0xffffff,0,9267f98a,46482524053438471,学英语你正真记住的是说出来的和听到的
28,39.89100,滚动弹幕,25,0xffffff,0,9267f98a,46482495252725763,背单词真的有用吗？
29,175.63600,滚动弹幕,25,0xffffff,0,ecafbf49,46478064879665155,这不就是科目一科目四
30,192.27500,滚动弹幕,25,0xffffff,0,6fc4ada1,46473487271854085,艾宾浩斯记忆法不是艾宾浩斯提出的，是瞎编的
31,92.97400,滚动弹幕,25,0xffffff,0,f07e57c6,46445772858195975,mp
32,43.92900,滚动弹幕,25,0xffffff,0,bb5acb9e,46441736602910725,来看老婆
33,39.92500,滚动弹幕,25,0xffffff,0,bb5acb9e,46441734464864259,来看老婆
34,32.92500,滚动弹幕,25,0xffffff,0,bb5acb9e,46441731051749383,来看老婆
35,156.56200,滚动弹幕,25,0xffffff,0,828cfcb,46434700256346115,单词写的作文废了
36,274.67800,滚动弹幕,25,0xffffff,0,dc6e4b2b,46420480198967299,日语！！
37,20.38600,滚动弹幕,25,0xffffff,0,42395171,46415339558273029,好帅啊
38,30.31600,滚动弹幕,25,0xffffff,0,b881582e,46402661621170179,还是喜欢你坑弟弟
39,284.00000,滚动弹幕,25,0xffffff,0,246025e5,46402327434231813,爱了
40,188.57400,滚动弹幕,25,0xffffff,0,9420a2a,46397558024568839,k弟nb
41,28.15200,滚动弹幕,25,0xffffff,0,fdd3c372,46390657113653253,姐姐好帅
42,271.57300,滚动弹幕,25,0xffffff,0,5e106ec4,46389920505266183,知米背单词APP
43,109.62800,滚动弹幕,25,0xffffff,0,d49ef08b,46387614874861571,啊这个我有用
44,41.39900,滚动弹幕,25,0xffffff,0,f44cfdf3,46385589984428039,手机壳
45,106.33400,滚动弹幕,25,0xffffff,0,6953a59d,46381734270337031,已经忘了...
46,228.37500,滚动弹幕,25,0xffffff,0,7c8b81f7,46380176825647109,来了来了
47,95.28600,滚动弹幕,25,0xffffff,0,1ea0c534,46378202547879941,abandon
48,54.87000,滚动弹幕,25,0xffffff,0,a748ce86,46358822518784003,我的是sincerely
49,176.49900,滚动弹幕,25,0xffffff,0,778c7e8d,46354802193989637,扇贝？
50,55.00000,滚动弹幕,25,0xffffff,0,ff909953,46349898463838213,怎么有点像一个女演员 叫什么李来着
51,65.36700,滚动弹幕,25,0xffffff,0,47a2e3d9,46346126895874055,然后就和其他单词记混了
52,112.31400,滚动弹幕,25,0xffffff,0,94931845,46343848599224323,你是狗吧
53,198.12400,滚动弹幕,25,0xffffff,0,4ed76a03,46337670113656839,推荐墨墨
54,156.95300,滚动弹幕,25,0xffffff,0,4ed76a03,46337647954100227,我高中就是这样背的 效率很高
55,283.30000,滚动弹幕,25,0xffffff,0,539f41d,46331912452046851,日语单词！！
56,149.19000,滚动弹幕,25,0xffffff,0,402e58d4,46330895113650179,我天，一模一样
57,48.46900,滚动弹幕,25,0xffffff,0,f4aa591,46316056370741255,那么漂亮的姐姐不会喜欢女孩子吧
58,231.94000,滚动弹幕,25,0xffffff,0,bc88c0ec,46313870403829763,亲测有效，一天250-300，六级过了
59,177.86700,滚动弹幕,25,0xffffff,0,75c80d43,46313807196192771,要来了吗
60,1.08400,滚动弹幕,25,0xfef102,0,cf0e325f,46307882866049027,马冬梅这个梗不就是朋友圈之前流行的吗
61,53.51300,滚动弹幕,25,0xffffff,0,213e0538,46307205104271365,我发现 我每天上下班路上 上班复习旧单词200个 下班背20-30个，刚好～
62,173.47400,滚动弹幕,25,0xffffff,0,b99c74b4,46307072340393991,我用单词app带选项就一下子回忆了，但没选项就想不起来
63,275.09900,滚动弹幕,25,0xffffff,0,c6c73078,46295304830976003,是我
64,222.39900,滚动弹幕,25,0xffffff,0,f58b1398,46293758006788101,复习好了，才能娶媳妇
65,103.90000,滚动弹幕,25,0xffffff,0,f58b1398,46293686156787715,娶了
66,83.46000,滚动弹幕,25,0xffffff,0,f58b1398,46293579124441095,不懂不要慌，先要取个好老婆
67,35.46300,滚动弹幕,25,0xffffff,0,f58b1398,46293534021517317,叫老婆
68,19.25300,滚动弹幕,25,0xffffff,0,f58b1398,46293478715949061,没人要老婆吗？
69,112.09400,滚动弹幕,25,0xffffff,0,afd1d812,46290813191716933,我不是这样学的，根本不需要中文，看英语解释英语更好用
70,184.15800,滚动弹幕,25,0xffffff,0,941337ae,46290786579382275,我以前也爱这个APP诶
71,93.45400,滚动弹幕,25,0xffffff,0,afd1d812,46290736415506439,什么p社！？10个枪毙11个还有一个漏网的
72,152.12700,滚动弹幕,25,0xffffff,0,867fbf79,46284836902010883,我们这里叫下单笔
73,102.77300,滚动弹幕,25,0xffffff,0,95be8d25,46269311210749957,abandon
74,268.68400,滚动弹幕,25,0xffffff,0,a7f78703,46266428367044613,这是啥app
75,85.16000,顶端弹幕,25,0xe70012,0,9ea3c931,46257820759228423,眼睛里有灯
76,270.90200,滚动弹幕,25,0xffffff,0,c557f47d,46257445505335299,什么app啊
77,223.70400,滚动弹幕,25,0xffffff,0,bf5cce9,46257214983241735,是真的复习好重要
78,117.93900,滚动弹幕,25,0xffffff,0,fd671f12,46256755116605447,这样说实话太慢了
